time,boiler_thermocouple,boiler_internal,grouphead_thermocouple,grouphead_internal,basket_thermocouple,basket_internal
1685809373.92960196,6.25,29.4375,5,27.8125,5.5,27.8125
1685809373.948797814,6.25,29.4375,5,27.8125,5.5,27.8125
1685809373.952969782,6.25,29.4375,5,27.8125,5.5,27.8125
1685809373.972918631,6.25,29.4375,5,27.8125,5.5,27.8125
1685809373.999041433,6.25,29.4375,5.25,27.8125,5.5,27.8125
1685809374.030687193,6.25,29.5,5.25,27.8125,5.5,27.875
1685809374.062735949,6.25,29.5,5,27.8125,5.5,27.875
1685809374.0955687,6.25,29.5,5,27.8125,5.5,27.875
1685809374.129894439,6.25,29.5,5,27.8125,5.5,27.875
1685809374.158536222,6.25,29.5,5,27.8125,5.5,27.875
1685809374.191000975,6.25,29.4375,5,27.8125,5.5,27.875
1685809374.222476736,6.25,29.4375,5.25,27.8125,5.75,27.875
1685809374.2535955,6.25,29.5,5.25,27.8125,5.75,27.875
1685809374.286160253,6.25,29.5,5,27.8125,5.5,27.875
1685809374.318300009,6.25,29.4375,5,27.8125,5.5,27.875
1685809374.350408765,6.25,29.4375,5,27.8125,5.75,27.875
1685809374.381976525,6.25,29.4375,5,27.8125,5.75,27.875
1685809374.413757284,6.25,29.4375,5,27.8125,5.75,27.8125
1685809374.446297037,6.25,29.4375,5.25,27.8125,5.5,27.8125
1685809374.478168795,6.25,29.4375,5.25,27.8125,5.5,27.875
1685809374.509635556,6.25,29.4375,5.25,27.8125,5.5,27.875
1685809374.541683313,6.25,29.4375,5.25,27.8125,5.5,27.875
1685809374.574428064,6.25,29.4375,5,27.8125,5.5,27.875
1685809374.605473828,6.25,29.4375,5,27.8125,5.5,27.875
1685809374.638062581,6.25,29.4375,5,27.8125,5.5,27.875
1685809374.669937339,6.25,29.4375,5,27.8125,5.5,27.875
1685809374.701502099,6.25,29.4375,5,27.8125,5.5,27.875
1685809374.740479803,6.25,29.4375,-1000,-1000,5.75,27.875
1685809374.772683559,6.25,29.4375,-1000,-1000,5.75,27.875
1685809374.798252365,6,29.4375,-1000,-1000,5.5,27.875
1685809374.829810125,6,29.4375,5,27.8125,5.5,27.875
1685809374.861888881,6,29.4375,5,27.8125,5.5,27.875
1685809374.893536641,6.25,29.4375,5,27.8125,5.75,27.875
1685809374.925493398,6.25,29.5,5,27.8125,5.75,27.8125
1685809374.958501148,6.25,29.5,5.25,27.8125,5.5,27.8125
1685809374.989917909,6.25,29.4375,5.25,27.8125,5.5,27.8125
1685809375.02141667,6.25,29.4375,5.25,27.8125,5.75,27.8125
1685809375.053959423,6.25,29.4375,5.25,27.8125,5.75,27.8125
1685809375.094780113,6,29.4375,5,27.8125,5.5,27.875
1685809375.11752594,6,29.4375,5,27.8125,5.5,27.875
1685809375.150034693,6,29.4375,5,27.8125,5.5,27.8125
1685809375.182365447,6.25,29.4375,5.25,27.8125,5.5,27.8125
1685809375.214232205,6.25,29.4375,5.25,27.8125,5.5,27.875
1685809375.245709966,6.25,29.4375,5.25,27.8125,5.5,27.875
1685809375.278186719,6.25,29.4375,5.25,27.8125,5.5,27.875
1685809375.310069477,6.25,29.4375,5.25,27.8125,5.5,27.875
1685809375.341512238,6.25,29.4375,5,27.8125,5.5,27.875
1685809375.373808993,6.25,29.4375,5,27.8125,5.5,27.875
1685809375.417035664,6.25,29.4375,5,27.8125,5.75,27.875
1685809375.437694507,6.25,29.4375,5,27.8125,5.75,27.875
1685809375.470119261,6.25,29.4375,5.25,27.8125,5.5,27.875
1685809375.502316016,6.25,29.4375,-1000,-1000,5.5,27.875
1685809375.534032775,6.25,29.4375,-1000,-1000,5.5,27.875
1685809375.566048532,6.25,29.4375,5,27.8125,5.5,27.875
1685809375.599817275,6.25,29.4375,5,27.8125,5.5,27.875
1685809375.629616049,6.25,29.4375,5,27.8125,5.75,27.875
1685809375.662048803,6.25,29.4375,5,27.8125,5.75,27.875
1685809375.693846561,6.25,29.4375,5.25,27.8125,5.5,27.875
1685809375.726375314,6.25,29.4375,5.25,27.8125,5.5,27.875
1685809375.757949074,6.25,29.4375,5.25,27.8125,5.5,27.875
1685809375.789408835,6.25,29.4375,5.25,27.8125,5.5,27.875
1685809375.821552591,6.25,29.4375,5.25,27.8125,5.5,27.875
1685809375.85460234,6.25,29.4375,5,27.8125,5.5,27.875
1685809375.887790087,6.25,29.4375,5,27.8125,5.5,27.875
1685809375.921115834,6.25,29.4375,5.25,27.8125,5.75,27.875
1685809375.950099614,6.25,29.4375,5.25,27.8125,5.75,27.875
1685809375.981792373,6.25,29.4375,5.25,27.8125,5.75,27.875
1685809376.01383513,6.25,29.4375,5.25,27.8125,5.75,27.875
1685809376.045455889,6.25,29.4375,5.25,27.8125,5.75,27.875
1685809376.078538638,6,29.4375,5,27.8125,5.5,27.875
1685809376.109597402,6,29.4375,5,27.8125,5.5,27.8125
1685809376.141470159,6.25,29.4375,5,27.8125,5.75,27.8125
1685809376.174105911,6.25,29.4375,5,27.8125,5.75,27.875
1685809376.212687618,6.25,29.4375,5.25,27.8125,5.75,27.875
1685809376.238080425,6.25,29.4375,-1000,-1000,5.75,27.875
1685809376.269987182,6.25,29.4375,-1000,-1000,5.75,27.875
1685809376.303827925,6,29.4375,5,27.8125,5.5,27.875
1685809376.333778697,6,29.4375,5,27.8125,5.5,27.8125
1685809376.366398449,6.25,29.4375,5,27.8125,5.5,27.8125
1685809376.397467213,6.25,29.5,5,27.8125,5.5,27.8125
1685809376.429661968,6.25,29.5,5.25,27.8125,5.5,27.8125
1685809376.461804724,6.25,29.4375,5.25,27.8125,5.5,27.8125
1685809376.493504483,6.25,29.4375,5.25,27.8125,5.5,27.875
1685809376.525740238,6.25,29.4375,5,27.8125,5.75,27.875
1685809376.558252991,6.25,29.4375,5,27.8125,5.75,27.875
1685809376.590135748,6.25,29.4375,5,27.8125,5.5,27.875
1685809376.621601509,6.25,29.4375,5,27.8125,5.5,27.875
1685809376.653688265,6.25,29.4375,5.25,27.8125,5.75,27.875
1685809376.686271017,6.25,29.4375,5.25,27.8125,5.75,27.875
1685809376.718223774,6.25,29.4375,5.25,27.8125,5.75,27.875
1685809376.75038853,6.25,29.4375,5.25,27.8125,5.75,27.875
1685809376.781458294,6.25,29.4375,5.25,27.8125,5.75,27.875
1685809376.813916047,6,29.4375,5,27.8125,5.75,27.875
1685809376.845833804,6,29.4375,5,27.8125,5.75,27.875
1685809376.878288557,6.25,29.4375,5,27.8125,5.5,27.875
1685809376.909962317,6.25,29.375,5,27.8125,5.5,27.875
1685809376.941440077,6.25,29.375,5,27.8125,5.5,27.875
1685809376.973640833,6.25,29.375,5.25,27.8125,5.5,27.875
1685809377.006312584,6.25,29.4375,5.25,27.8125,5.5,27.8125
1685809377.03838934,6.25,29.4375,5,27.8125,5.75,27.8125
1685809377.0698851,6.25,29.4375,5,27.8125,5.75,27.875
1685809377.101766858,6.25,29.4375,5,27.8125,5.5,27.875
1685809377.134472609,6.25,29.4375,5,27.8125,5.5,27.875
1685809377.16590137,6.25,29.4375,5.25,27.8125,5.5,27.875
1685809377.198346123,6.25,29.4375,5.25,27.8125,5.5,27.875
1685809377.23030788,6.25,29.4375,5.25,27.8125,5.5,27.875
1685809377.262244637,6.25,29.4375,5.25,27.8125,5.75,27.875
1685809377.294404392,6.25,29.4375,5.25,27.8125,5.75,27.875
1685809377.325954152,6.25,29.4375,5,27.8125,5.75,27.875
1685809377.358134908,6.25,29.4375,5,27.8125,5.75,27.875
1685809377.389662668,6.25,29.4375,5,27.8125,5.75,27.875
1685809377.422398419,6.25,29.4375,5,27.8125,5.5,27.875
1685809377.454054178,6.25,29.4375,5,27.8125,5.5,27.875
1685809377.485526938,6.25,29.4375,5.25,27.8125,5.75,27.875
1685809377.518016691,6.25,29.4375,5.25,27.8125,5.75,27.875
1685809377.549872449,6.25,29.4375,5,27.8125,5.75,27.875
1685809377.582346202,6.25,29.4375,5,27.8125,5.75,27.875
1685809377.614281959,6.25,29.4375,5,27.8125,5.75,27.875
1685809377.645844719,6.25,29.4375,5,27.8125,5.75,27.875
1685809377.678029474,6.25,29.4375,5,27.8125,5.75,27.875
1685809377.709804232,6.25,29.4375,5.25,27.8125,5.5,27.875
1685809377.741855988,6.25,29.375,5.25,27.8125,5.5,27.875
1685809377.773962744,6.25,29.375,5.25,27.8125,5.75,27.875
1685809377.8059865,6.25,29.4375,5.25,27.8125,5.75,27.875
1685809377.837736259,6.25,29.4375,5,27.8125,5.75,27.875
1685809377.874758977,6.25,29.4375,5,27.8125,5.75,27.875
1685809377.904362752,6.25,29.4375,5,27.8125,5.75,27.875
1685809377.940695476,6.25,29.4375,5,27.8125,5.5,27.875
1685809377.965474287,6.25,29.4375,5,27.8125,5.5,27.875
1685809377.998400037,6.25,29.4375,5.25,27.8125,5.5,27.875
