time,boiler_thermocouple,boiler_internal,grouphead_thermocouple,grouphead_internal,basket_thermocouple,basket_internal
1686491325.013607472,6.75,31.875,5.5,30.9375,5.75,31.125
1686491325.030901338,6.75,31.875,5.5,30.9375,5.75,31.0625
1686491325.038382279,6.75,31.875,5.5,30.9375,5.75,31.0625
1686491325.068185048,6.75,31.875,5.5,30.875,5.75,31.0625
1686491325.100402797,6.75,31.875,5.25,30.875,5.75,31.125
1686491325.132960544,6.75,31.875,5.25,30.9375,5.75,31.125
1686491325.164043302,6.75,31.875,5.25,30.9375,5.75,31.125
1686491325.19648205,6.75,31.875,5.25,30.9375,5.75,31.125
1686491325.227864806,6.75,31.875,5.25,30.9375,5.75,31.125
1686491325.25954156,6.75,31.875,5.25,30.9375,5.75,31.125
1686491325.29172231,6.75,31.875,5.25,30.9375,5.75,31.125
1686491325.324157057,6.75,31.875,5.5,30.9375,5.75,31.125
1686491325.356073809,6.75,31.875,5.5,30.9375,5.75,31.125
1686491325.387612564,6.75,31.875,5.25,30.9375,5.75,31.125
1686491325.419386317,6.75,31.875,5.25,30.9375,5.75,31.125
1686491325.452131062,6.5,31.875,5.25,30.9375,5.75,31.125
1686491325.483962815,6.5,31.875,5.25,30.9375,5.75,31.125
1686491325.515632569,6.5,31.875,5.25,30.875,5.75,31.125
1686491325.547487321,6.5,31.875,5.25,30.875,5.75,31.125
1686491325.579845069,6.5,31.875,5.25,30.875,5.75,31.125
1686491325.611792821,6.75,31.875,5.25,30.875,5.75,31.125
1686491325.64406057,6.75,31.875,5.25,30.9375,5.75,31.0625
1686491325.675742324,6.75,31.875,5.25,30.9375,5.75,31.0625
1686491325.707393078,6.75,31.875,5.25,30.9375,5.75,31.125
1686491325.739359829,6.75,31.875,5.25,30.875,5.75,31.125
1686491325.771880576,6.75,31.875,5.25,30.875,5.75,31.0625
1686491325.803700329,6.75,31.875,5.25,30.9375,5.75,31.0625
1686491325.835847079,6.75,31.875,5.25,30.9375,5.75,31.0625
1686491325.86784583,6.75,31.875,5.25,30.875,5.75,31.125
1686491325.899218586,6.75,31.875,5.25,30.875,5.75,31.125
1686491325.93215633,6.75,31.875,5.25,30.875,5.75,31.125
1686491325.964025082,6.5,31.875,5.25,30.9375,5.75,31.125
1686491325.995779835,6.5,31.875,5.5,30.9375,5.75,31.125
1686491326.028180583,6.5,31.875,5.5,30.875,5.75,31.125
1686491326.059621339,6.5,31.875,5.25,30.875,5.75,31.125
1686491326.092056087,6.5,31.875,5.25,30.9375,5.75,31.125
1686491326.123890839,6.75,31.875,5.25,30.9375,5.75,31.125
1686491326.156212588,6.75,31.875,5.25,30.9375,5.75,31.125
1686491326.18808334,6.75,31.875,5.25,30.9375,5.75,31.125
1686491326.219443096,6.75,31.875,5.5,30.9375,5.75,31.125
1686491326.251345848,6.75,31.875,5.5,30.9375,5.75,31.125
1686491326.283856596,6.5,31.875,5.5,30.9375,5.75,31.125
1686491326.315610349,6.5,31.875,5.5,30.9375,5.75,31.0625
1686491326.347974097,6.75,31.875,5.5,30.9375,5.75,31.0625
1686491326.379842849,6.75,31.875,5.5,30.9375,5.75,31.125
1686491326.411386604,6.75,31.875,5.5,30.875,5.75,31.125
1686491326.443219357,6.75,31.875,5.25,30.875,5.75,31.0625
1686491326.475322107,6.75,31.875,5.25,30.9375,5.75,31.0625
1686491326.508187851,6.75,31.875,5.5,30.9375,5.75,31.125
1686491326.539477608,6.75,31.875,5.5,30.875,5.75,31.125
1686491326.571492359,6.75,31.875,5.25,30.875,5.75,31.125
1686491326.603731109,6.75,31.875,5.25,30.875,5.75,31.125
1686491326.635482862,6.75,31.875,5.25,30.9375,5.75,31.125
1686491326.66783961,6.75,31.875,5.25,30.9375,5.75,31.0625
1686491326.699770362,6.75,31.875,5.25,30.9375,5.75,31.0625
1686491326.732068111,6.75,31.875,5.25,30.9375,5.75,31.125
1686491326.763885863,6.75,31.875,5.25,30.9375,5.75,31.125
1686491326.796201612,6.75,31.875,5.25,30.9375,5.75,31.125
1686491326.827931365,6.75,31.875,5.25,30.9375,5.75,31.0625
1686491326.859313121,6.75,31.875,5.25,30.9375,5.75,31.0625
1686491326.891254873,6.75,31.9375,5.25,30.9375,5.75,31.125
1686491326.924070618,6.75,31.9375,5.25,30.9375,5.75,31.125
1686491326.955818371,6.75,31.9375,5.5,30.9375,5.75,31.125
1686491326.988025121,6.75,31.875,5.5,30.875,5.75,31.125
1686491327.026091825,6.75,31.875,5.25,30.875,5.75,31.125
1686491327.052019623,6.75,31.875,5.25,30.875,5.75,31.125
1686491327.083840376,6.75,31.875,5.25,30.875,5.75,31.125
1686491327.115854127,6.75,31.875,5.25,30.875,5.75,31.125
1686491327.147888878,6.5,31.875,5.25,30.875,5.75,31.125
1686491327.179325633,6.5,31.875,5.25,30.875,5.75,31.0625
1686491327.211247385,6.5,31.875,5.25,30.9375,5.75,31.0625
1686491327.243563134,6.75,31.875,5.25,30.9375,5.75,31.0625
1686491327.275341887,6.75,31.875,5.25,30.9375,5.75,31.0625
1686491327.308155632,6.75,31.875,5.25,30.9375,5.75,31.0625
1686491327.340045384,6.75,31.875,5.25,30.9375,5.75,31.0625
1686491327.37137214,6.5,31.875,5.25,30.9375,5.5,31.0625
1686491327.403667889,6.5,31.875,5.25,30.9375,5.5,31.125
1686491327.435828639,6.5,31.8125,5.25,30.875,5.75,31.125
1686491327.46785039,6.75,31.8125,5.25,30.875,5.75,31.125
1686491327.500277138,6.75,31.875,5.25,30.875,5.75,31.125
1686491327.534021875,6.75,31.875,5.25,30.875,5.75,31.125
1686491327.563519646,6.75,31.875,5.25,30.875,5.75,31.125
1686491327.596172392,6.5,31.875,5.25,30.9375,5.75,31.125
1686491327.62731015,6.5,31.875,5.5,30.9375,5.75,31.125
1686491327.659285902,6.5,31.875,5.5,30.9375,5.75,31.125
1686491327.691861648,6.75,31.875,5.5,30.9375,5.75,31.125
1686491327.723663401,6.75,31.875,5.5,30.9375,5.75,31.125
1686491327.755827151,6.75,31.875,5.25,30.9375,5.75,31.125
1686491327.787971901,6.75,31.875,5.25,30.9375,5.75,31.0625
1686491327.819869653,6.5,31.875,5.25,30.875,5.75,31.0625
1686491327.851792405,6.5,31.875,5.25,30.875,5.75,31.0625
1686491327.883881155,6.5,31.875,5.25,30.875,5.75,31.0625
1686491327.915562909,6.5,31.875,5.25,30.875,5.75,31.0625
1686491327.947893658,6.5,31.875,5.25,30.9375,5.75,31.125
1686491327.97974641,6.75,31.875,5.25,30.9375,5.75,31.125
1686491328.011279165,6.75,31.875,5.25,30.9375,5.75,31.125
1686491328.04408291,6.75,31.875,5.25,30.9375,5.75,31.125
1686491328.075497666,6.75,31.875,5.25,30.9375,5.75,31.125
1686491328.107331418,6.75,31.875,5.25,30.9375,5.75,31.125
1686491328.139831165,6.5,31.875,5.5,30.9375,5.75,31.125
1686491328.171752917,6.5,31.875,5.5,30.9375,5.75,31.125
1686491328.204024666,6.5,31.875,5.25,30.9375,5.75,31.125
1686491328.23572842,6.5,31.875,5.25,30.9375,5.75,31.125
1686491328.268010169,6.75,31.875,5.25,30.875,5.75,31.125
1686491328.299902921,6.75,31.8125,5.25,30.875,5.75,31.125
1686491328.331253677,6.5,31.8125,5.25,30.9375,5.75,31.125
1686491328.364055422,6.5,31.8125,5.5,30.9375,5.75,31.125
1686491328.395349179,6.5,31.875,5.5,30.9375,5.75,31.125
1686491328.42730693,6.75,31.875,5.5,30.9375,5.75,31.125
1686491328.459708678,6.75,31.875,5.5,30.9375,5.75,31.125
1686491328.49162743,6.75,31.875,5.5,30.9375,5.75,31.125
1686491328.523884179,6.75,31.875,5.25,30.9375,5.75,31.0625
1686491328.555611933,6.5,31.875,5.25,30.9375,5.75,31.0625
1686491328.587708683,6.5,31.875,5.5,30.9375,5.75,31.0625
1686491328.619814434,6.5,31.875,5.5,30.9375,5.75,31.125
1686491328.652214182,6.75,31.875,5.25,30.9375,5.75,31.125
1686491328.683458939,6.75,31.875,5.25,30.875,5.75,31.0625
1686491328.715823687,6.75,31.875,5.25,30.875,5.75,31.0625
1686491328.747809438,6.75,31.8125,5.25,30.875,5.75,31.125
