time,boiler_thermocouple,boiler_internal,grouphead_thermocouple,grouphead_internal,basket_thermocouple,basket_internal
1687118267.563230267s,28.25,27.1875,26.75,26.1875,27.25,26.375
1687118267.57077219s,28.25,27.1875,26.75,26.1875,27.25,26.375
1687118267.589007004s,28.25,27.1875,27,26.1875,27.25,26.375
1687118267.621593671s,28.25,27.1875,27,26.1875,27.25,26.375
1687118267.652598354s,28.25,27.1875,27,26.1875,27.25,26.375
1687118267.684894024s,28.25,27.1875,27,26.1875,27.25,26.375
1687118267.717009696s,28,27.1875,27,26.1875,27.25,26.375
1687118267.749323366s,28,27.25,27,26.1875,27.25,26.375
1687118267.781340039s,28.25,27.25,27,26.1875,27.25,26.375
1687118267.81261472s,28.25,27.25,27,26.1875,27.25,26.375
1687118267.844631393s,28.25,27.25,27,26.1875,27.25,26.375
1687118267.876936063s,28.25,27.25,27,26.1875,27.25,26.375
1687118267.908842737s,28.25,27.25,27,26.1875,27.25,26.375
1687118267.940450414s,28.25,27.25,27,26.1875,27.25,26.375
1687118267.972836083s,28.25,27.25,27,26.1875,27.25,26.375
1687118268.004598759s,28.25,27.25,27,26.1875,27.25,26.375
1687118268.036476433s,28.25,27.1875,27,26.1875,27.25,26.375
1687118268.068025111s,28.25,27.1875,27,26.1875,27.25,26.375
1687118268.100473779s,28.25,27.1875,27,26.1875,27.25,26.375
1687118268.132289454s,28.25,27.1875,27,26.1875,27.25,26.375
1687118268.164473126s,28.25,27.1875,27,26.1875,27.25,26.3125
1687118268.196270801s,28.25,27.1875,27,26.1875,27.25,26.3125
1687118268.228612471s,28.25,27.1875,27,26.1875,27.25,26.375
1687118268.260212148s,28.25,27.25,27,26.1875,27.25,26.375
1687118268.292127822s,28.25,27.25,27,26.1875,27.25,26.375
1687118268.324405492s,28.25,27.25,27,26.1875,27.25,26.375
1687118268.356137168s,28.25,27.25,27,26.1875,27.25,26.375
1687118268.388763835s,28.25,27.25,27,26.1875,27.25,26.375
1687118268.419896517s,28.25,27.25,27,26.1875,27.25,26.375
1687118268.452412185s,28.25,27.25,27,26.1875,27.25,26.375
1687118268.484309859s,28.25,27.25,27,26.1875,27.25,26.375
1687118268.515979535s,28.25,27.25,27,26.1875,27.25,26.375
1687118268.548420204s,28.25,27.25,27,26.1875,27.25,26.375
1687118268.580010881s,28.25,27.25,27,26.1875,27.25,26.375
1687118268.612179553s,28.25,27.25,27,26.1875,27.25,26.375
1687118268.644530222s,28.25,27.25,27,26.1875,27.25,26.375
1687118268.675850902s,28.25,27.25,27,26.1875,27.25,26.375
1687118268.708467569s,28.25,27.25,27,26.1875,27.25,26.375
1687118268.74065324s,28.25,27.25,27,26.1875,27.25,26.375
1687118268.772149919s,28.25,27.25,27,26.1875,27.25,26.375
1687118268.804374589s,28.25,27.25,27,26.1875,27.25,26.375
1687118268.836068266s,28.25,27.25,27,26.1875,27.25,26.375
1687118268.869043929s,28.25,27.25,27,26.1875,27.25,26.375
1687118268.900588607s,28.25,27.25,27,26.1875,27.25,26.3125
1687118268.932783278s,28.25,27.25,27,26.1875,27.25,26.3125
1687118268.964455954s,28.25,27.25,27,26.1875,27.25,26.375
1687118268.996875623s,28.25,27.25,27,26.1875,27.25,26.375
1687118269.028712298s,28.25,27.25,27,26.1875,27.25,26.3125
1687118269.060123977s,28.25,27.25,27,26.1875,27.25,26.3125
1687118269.091876653s,28.25,27.25,27,26.1875,27.25,26.3125
1687118269.124705317s,28.25,27.25,27,26.1875,27.25,26.3125
1687118269.15675399s,28.25,27.25,27,26.1875,27.25,26.3125
1687118269.188883662s,28.25,27.25,27,26.1875,27.25,26.375
1687118269.219918345s,28.25,27.1875,27,26.1875,27.25,26.375
1687118269.252060017s,28.25,27.1875,27,26.1875,27.25,26.375
1687118269.284300687s,28.25,27.1875,27,26.25,27.25,26.375
1687118269.31634336s,28.25,27.1875,27,26.25,27.25,26.375
1687118269.348037036s,28.25,27.1875,27,26.1875,27.25,26.375
1687118269.380231707s,28.25,27.25,27,26.1875,27.25,26.375
1687118269.412806375s,28.25,27.25,27,26.1875,27.25,26.375
1687118269.444178054s,28.25,27.25,27,26.1875,27.25,26.375
1687118269.476033729s,28.25,27.25,27,26.1875,27.25,26.3125
1687118269.507897403s,28.25,27.25,27,26.1875,27.25,26.3125
1687118269.540727068s,28.25,27.25,27,26.1875,27.25,26.3125
1687118269.572090748s,28.25,27.25,27,26.1875,27.25,26.375
1687118269.604836413s,28.25,27.25,27,26.1875,27.25,26.375
1687118269.636264092s,28.25,27.25,27,26.1875,27.25,26.3125
1687118269.667957769s,28.25,27.1875,27,26.1875,27.25,26.3125
1687118269.70014244s,28.25,27.1875,27,26.1875,27.25,26.375
1687118269.732663108s,28.25,27.1875,27,26.1875,27.25,26.375
1687118269.764631781s,28.25,27.1875,27,26.1875,27.25,26.375
1687118269.795934461s,28.25,27.1875,27,26.1875,27.25,26.375
1687118269.828817125s,28.25,27.25,27,26.1875,27.25,26.375
1687118269.860488802s,28.25,27.25,27,26.1875,27.25,26.375
1687118269.892665473s,28.25,27.25,27,26.1875,27.25,26.375
1687118269.924860144s,28.25,27.25,27,26.1875,27.25,26.375
1687118269.956734819s,28.25,27.25,27,26.1875,27.25,26.375
1687118269.988156498s,28.25,27.25,27,26.1875,27.25,26.375
1687118270.020390169s,28.25,27.25,27,26.1875,27.25,26.3125
1687118270.052410842s,28.25,27.25,27,26.1875,27.25,26.3125
1687118270.08392352s,28.25,27.25,27,26.1875,27.25,26.3125
1687118270.115878193s,28.25,27.25,27,26.1875,27.25,26.3125
1687118270.148699858s,28.25,27.25,27,26.1875,27.25,26.375
1687118270.180485533s,28.25,27.25,27,26.1875,27.25,26.375
1687118270.212821203s,28.25,27.25,27,26.1875,27.25,26.375
1687118270.244583879s,28.25,27.25,27,26.1875,27.25,26.3125
1687118270.276406554s,28.25,27.1875,27,26.1875,27.25,26.3125
1687118270.308499226s,28.25,27.1875,27,26.1875,27.25,26.375
1687118270.339931905s,28.25,27.1875,27,26.1875,27.25,26.375
1687118270.371976578s,28.25,27.1875,27,26.1875,27.25,26.3125
1687118270.404206248s,28.25,27.25,27,26.1875,27.25,26.3125
1687118270.436814915s,28.25,27.25,27,26.1875,27.25,26.3125
1687118270.468580591s,28.25,27.25,27,26.1875,27.25,26.375
1687118270.500370266s,28.25,27.25,27,26.1875,27.25,26.375
1687118270.532203941s,28.25,27.25,27,26.1875,27.25,26.3125
1687118270.564511611s,28.25,27.25,27,26.1875,27.25,26.3125
1687118270.596048289s,28.25,27.25,27,26.1875,27.25,26.375
1687118270.628157961s,28.25,27.1875,27,26.1875,27.25,26.375
1687118270.66059063s,28.25,27.1875,27,26.1875,27.25,26.375
1687118270.692411305s,28.25,27.1875,27,26.1875,27.25,26.375
1687118270.724842973s,28.25,27.25,27,26.1875,27.25,26.375
1687118270.755992655s,28.25,27.25,27,26.25,27.25,26.3125
1687118270.788224326s,28.25,27.1875,27,26.25,27.25,26.3125
1687118270.820269999s,28.25,27.1875,27,26.1875,27.25,26.3125
1687118270.852767667s,28.25,27.25,27,26.1875,27.25,26.3125
1687118270.884609341s,28.25,27.25,27,26.1875,27.25,26.375
1687118270.916195019s,28.25,27.25,27,26.25,27.25,26.375
1687118270.948101693s,28.25,27.25,27,26.25,27.25,26.375
1687118270.980532362s,28.25,27.25,27,26.1875,27.25,26.375
1687118271.012420036s,28.25,27.25,27,26.1875,27.25,26.375
1687118271.044027713s,28.25,27.25,27,26.1875,27.25,26.375
1687118271.076096386s,28.25,27.1875,27,26.1875,27.25,26.375
1687118271.108570054s,28.25,27.1875,27,26.1875,27.25,26.375
1687118271.140346729s,28.25,27.1875,27,26.1875,27.25,26.375
1687118271.172709399s,28.25,27.1875,27,26.1875,27.25,26.375
1687118271.204536074s,28.25,27.1875,27,26.1875,27.25,26.375
1687118271.236146751s,28.25,27.1875,27,26.1875,27.25,26.375
1687118271.268114424s,28.25,27.1875,27,26.25,27.25,26.375
1687118271.299947099s,28.25,27.1875,27,26.25,27.25,26.375
1687118271.332748764s,28.25,27.1875,27,26.25,27.25,26.3125
1687118271.364329442s,28.25,27.1875,27,26.1875,27.25,26.3125
1687118271.396215116s,28.25,27.25,27,26.1875,27.25,26.3125
1687118271.428736784s,28.25,27.25,27,26.1875,27.25,26.375
1687118271.460553459s,28.25,27.25,27,26.1875,27.25,26.375
1687118271.491931138s,28.25,27.25,27,26.1875,27.25,26.3125
1687118271.523846812s,28.25,27.25,27,26.1875,27.25,26.3125
1687118271.556824475s,28.25,27.25,27,26.1875,27.25,26.375
1687118271.58865215s,28.25,27.25,27,26.1875,27.25,26.375
1687118271.620255828s,28.25,27.25,27,26.1875,27.25,26.375
1687118271.652031503s,28.25,27.25,27,26.1875,27.25,26.375
1687118271.68464817s,28.25,27.25,27,26.1875,27.25,26.375
1687118271.716553844s,28.25,27.25,27,26.1875,27.25,26.3125
1687118271.748099522s,28.25,27.25,27,26.1875,27.25,26.3125
1687118271.779907197s,28.25,27.25,27,26.1875,27.25,26.3125
1687118271.812291866s,28.25,27.1875,27,26.1875,27.25,26.3125
