time,boiler_thermocouple,boiler_internal,grouphead_thermocouple,grouphead_internal,basket_thermocouple,basket_internal
1687120907.907819386s,86,27.375,85.25,26.75,85.5,26.9375
1687120907.917201834s,86,27.375,85.25,26.75,85.5,26.9375
1687120907.931230998s,86,27.375,85.25,26.75,85.5,26.9375
1687120907.963654s,86,27.4375,85.25,26.75,85.25,26.9375
1687120907.995770955s,86,27.4375,85.25,26.75,85.25,26.9375
1687120908.027165587s,86,27.375,85.25,26.75,85.5,26.9375
1687120908.059339241s,85.75,27.375,85.25,26.75,85.5,26.9375
1687120908.091813938s,85.75,27.4375,85.25,26.75,85.25,26.9375
1687120908.123810566s,85.75,27.4375,85.25,26.75,85.25,26.9375
1687120908.155332125s,85.75,27.4375,85.25,26.75,85.25,26.9375
1687120908.187224738s,85.75,27.375,85.25,26.75,85.5,26.9375
1687120908.218413249s,85.75,27.375,85.5,26.75,85.5,27
1687120908.251086975s,85.75,27.375,85.5,26.75,85.75,27
1687120908.283152613s,85.75,27.375,85.25,26.75,85.75,26.9375
1687120908.314998219s,85.75,27.375,85.25,26.6875,85.5,26.9375
1687120908.347119865s,85.75,27.375,85.25,26.6875,85.5,27
1687120908.378753441s,85.75,27.375,85.25,26.6875,85.5,27
1687120908.410701062s,85.75,27.375,85.25,26.75,85.5,27
1687120908.443197762s,85.75,27.375,85.25,26.75,85.5,26.9375
1687120908.475181388s,85.75,27.375,85.25,26.75,85.5,26.9375
1687120908.506779959s,86,27.375,85.25,26.75,85.5,26.9375
1687120908.538702576s,86,27.375,85.25,26.75,85.5,26.9375
1687120908.571138267s,85.75,27.375,85.25,26.75,85.5,26.9375
1687120908.60303088s,85.75,27.375,85.25,26.75,85.5,26.9375
1687120908.634522435s,85.75,27.375,85.25,26.75,85.5,26.9375
1687120908.66649806s,85.75,27.375,85.25,26.75,85.5,26.9375
1687120908.698967757s,85.75,27.375,85.25,26.75,85.5,26.9375
1687120908.730867371s,86,27.375,85.25,26.75,85.5,26.9375
1687120908.762406932s,86,27.375,85.25,26.75,85.5,26.9375
1687120908.794637594s,85,27.375,85.25,26.75,85.5,26.9375
1687120908.826869256s,85,27.375,85.25,26.75,85.5,26.9375
1687120908.858433822s,85,27.375,85.25,26.75,85.25,26.9375
1687120908.890579471s,85.75,27.375,85.25,26.75,85.25,27
1687120908.923150182s,85.75,27.375,85.25,26.75,85.5,27
1687120908.954360696s,85.75,27.375,85.25,26.75,85.5,26.9375
1687120908.987039423s,85.75,27.375,85.25,26.75,85.25,26.9375
1687120909.019214951s,85.75,27.375,85.25,26.75,85.25,26.9375
1687120909.051089273s,85.75,27.375,85.25,26.75,85.25,26.9375
1687120909.083273637s,85.75,27.4375,85.25,26.75,85.25,26.9375
1687120909.114926929s,85.75,27.4375,85.25,26.75,85.25,26.9375
1687120909.146974275s,85.75,27.4375,85.25,26.75,85.25,26.9375
1687120909.178541555s,85.75,27.4375,85.25,26.75,85.25,26.9375
