time,boiler_thermocouple,boiler_internal,grouphead_thermocouple,grouphead_internal,basket_thermocouple,basket_internal
1687731921.284606454s,53.25,31.0625,31.5,30.25,35.25,30.5
1687731921.289943404s,53.25,31.0625,31.5,30.3125,35.25,30.5
1687731921.295235354s,53.25,31.0625,31.5,30.3125,35.25,30.5
1687731921.302521285s,53.25,31.0625,31.5,30.3125,35.25,30.5
1687731921.311340203s,53.25,31.0625,31.5,30.3125,35.25,30.5
1687731921.318895132s,53.25,31.0625,31.5,30.3125,35.25,30.4375
1687731921.327146054s,53.25,31.0625,33.75,30.3125,35.25,30.4375
1687731921.334698983s,53.25,31.0625,33.75,30.3125,35.25,30.4375
1687731921.342927906s,53.25,31.0625,33.75,30.3125,35.25,30.4375
1687731921.351229828s,53.25,31.0625,33.75,30.3125,34.5,30.4375
1687731921.358551759s,53.25,31.125,33.75,30.3125,34.5,30.4375
1687731921.366781682s,53.25,31.125,33.75,30.25,34.5,30.4375
1687731921.375068604s,53.25,31.125,33.75,30.25,34.5,30.4375
1687731921.383293527s,53.25,31.125,33.75,30.25,34.5,30.4375
1687731921.390588458s,53.25,31.125,33.75,30.25,34.5,30.4375
1687731921.399026379s,53.25,31.125,33.5,30.25,34.5,30.4375
1687731921.406816306s,53.25,31.125,33.5,30.25,34.5,30.4375
1687731921.415093228s,53.25,31.125,33.5,30.25,34.5,30.4375
1687731921.42231316s,53.25,31.125,33.5,30.25,34.5,30.4375
1687731921.430648082s,53.25,31.125,33.5,30.25,34.5,30.4375
1687731921.438952004s,53.25,31.125,33.5,30.25,34.5,30.4375
1687731921.447201926s,53.25,31.125,33.5,30.25,34.5,30.4375
1687731921.454477858s,53.25,31.125,33.5,30.25,34.5,30.4375
1687731921.462994778s,53.25,31.125,33.5,30.25,34.5,30.4375
1687731921.470330709s,53.25,31.125,33.5,30.25,34.5,30.5
1687731921.478556632s,53.25,31.125,31.5,30.25,34.5,30.5
1687731921.486788554s,53.25,31.125,31.5,30.25,34.5,30.5
1687731921.495060477s,53.25,31.125,31.5,30.25,34.5,30.5
1687731921.5032514s,53.25,31.125,31.5,30.25,34.25,30.5
1687731921.510522331s,53.25,31.0625,31.5,30.25,34.25,30.5
1687731921.518723254s,53.25,31.0625,31.5,30.3125,34.25,30.5
1687731921.526144185s,53.25,31.0625,31.5,30.3125,34.25,30.5
1687731921.534358107s,53.25,31.0625,31.5,30.3125,34.25,30.5
1687731921.54258603s,53.25,31.0625,31.5,30.3125,34.25,30.5
1687731921.550901952s,53.25,31.0625,33,30.3125,34.25,30.5
1687731921.706880487s,53.25,31.125,32.25,30.3125,35.25,30.5
1687731921.709234465s,53.25,31.125,32.25,30.3125,35.25,30.5
1687731921.712061438s,53.25,31.125,32.25,30.3125,35.25,30.5
1687731921.718149381s,53.25,31.125,32.25,30.3125,35.25,30.5
1687731921.726938298s,53.25,31.125,32.25,30.3125,35,30.5
1687731921.735181221s,53.25,31.125,32.25,30.25,35,30.5
1687731921.742381153s,53.25,31.125,32.25,30.25,35,30.5
1687731921.750737075s,53.25,31.125,32.25,30.25,35,30.5
1687731921.759088996s,53.25,31.125,32.25,30.25,35,30.5
1687731921.766368928s,53.25,31.125,32.25,30.25,35,30.5
1687731921.77463985s,53.25,31.125,32,30.25,35,30.5
1687731921.78313477s,53.25,31.125,32,30.25,35,30.5
1687731921.790399702s,53.25,31.125,32,30.25,35,30.5
1687731921.798633625s,53.25,31.125,32,30.25,34.5,30.5
1687731921.806882547s,53.25,31.125,32,30.25,34.5,30.5
1687731921.815156469s,53.25,31.125,32,30.3125,34.5,30.5
1687731921.822873397s,53.25,31.125,32,30.3125,34.5,30.5
1687731921.831220319s,53.25,31.125,32,30.3125,34.5,30.5
1687731921.838610249s,53.25,31.125,32,30.3125,34.5,30.5
1687731921.846667173s,53.25,31.125,34.25,30.3125,34.5,30.5
1687731921.854947096s,53.25,31.125,34.25,30.3125,34.5,30.5
1687731921.863115019s,53.25,31.125,34.25,30.3125,34.5,30.5
1687731921.870978945s,53.25,31.125,34.25,30.3125,34.5,30.5
1687731921.878296876s,53.25,31.125,34.25,30.3125,34.5,30.5
1687731921.886528799s,53.25,31.125,34.25,30.3125,34.5,30.5
1687731921.894805721s,53.25,31.125,34.25,30.3125,34.5,30.5
1687731921.902994644s,53.25,31.125,34.25,30.3125,34.5,30.5
1687731921.910592573s,53.25,31.125,34.25,30.3125,34.5,30.5
1687731921.918790496s,53.25,31.125,32.25,30.3125,34.5,30.5
1687731921.927050418s,53.25,31.125,32.25,30.3125,34.5,30.5
1687731921.935296341s,53.25,31.125,32.25,30.3125,34.5,30.5
1687731921.943156267s,53.25,31.125,32.25,30.3125,34.5,30.5
1687731921.950417199s,53.25,31.125,32.25,30.3125,34.5,30.5
1687731921.958655121s,53.25,31.125,32.25,30.25,34.5,30.5
1687731921.966929044s,53.25,31.125,32.25,30.25,34.5,30.5
1687731921.974199975s,53.25,31.125,32.25,30.25,34.5,30.5
1687731921.982430898s,53.25,31.125,32.25,30.25,34.5,30.5
1687731921.99077882s,53.25,31.125,32.25,30.25,34.5,30.5
1687731921.999086741s,53.25,31.125,30.25,30.25,34.5,30.5
1687731922.006346673s,53.25,31.125,30.25,30.25,34.5,30.5
1687731922.014586596s,53.25,31.125,30.25,30.25,34.5,30.5
1687731922.022807519s,53.25,31.125,30.25,30.25,34.5,30.5
1687731922.031102441s,53.25,31.0625,30.25,30.3125,34.5,30.5
1687731922.038702369s,53.25,31.0625,30.25,30.3125,34.5,30.5
1687731922.047387288s,53.25,31.0625,30.25,30.3125,34.5,30.5
1687731922.054674219s,53.25,31.0625,30.25,30.3125,34.5,30.5
1687731922.062866142s,53.25,31.0625,30.25,30.3125,34.5,30.4375
1687731922.071240064s,53.25,31.0625,34,30.3125,34.5,30.4375
1687731922.225573614s,53.25,31.125,31.25,30.3125,35.25,30.5
1687731922.227924592s,53.25,31.125,31.25,30.3125,35.25,30.5
1687731922.230755565s,53.25,31.125,31.25,30.3125,35.25,30.5
1687731922.239016487s,53.25,31.125,31.25,30.3125,35.25,30.5
1687731922.247481408s,53.25,31.125,31.25,30.3125,35.25,30.5
1687731922.25469934s,53.25,31.0625,31.25,30.3125,35.25,30.5
1687731922.262886263s,53.25,31.0625,31.25,30.3125,35.25,30.5
