time,boiler_thermocouple,boiler_internal,grouphead_thermocouple,grouphead_internal,basket_thermocouple,basket_internal,is_heating
1687858954.366688837s,25.25,26.5,25.25,25.6875,24.5,25.75,true
1687858954.372977777s,25.25,26.5,25.25,25.6875,24.5,25.75,true
1687858954.381181699s,25.25,26.5,25.25,25.6875,24.5,25.75,true
1687858954.388772627s,25.25,26.5,25.25,25.6875,24.5,25.8125,true
1687858954.396585553s,25.25,26.5,25.25,25.6875,24.5,25.8125,true
1687858954.404895474s,25.25,26.5,25.25,25.6875,24.5,25.8125,true
1687858954.412396403s,25.25,26.5,25.25,25.6875,24.5,25.8125,true
1687858954.420634325s,25.25,26.5,24.5,25.6875,22.75,25.8125,true
1687858954.428298252s,25.25,26.5,24.5,25.6875,22.75,25.8125,true
1687858954.436830171s,25.25,26.5,24.5,25.6875,22.75,25.8125,true
1687858954.4443971s,25.25,26.5,24.5,25.6875,22.75,25.8125,true
1687858954.452955018s,25.25,26.5,24.5,25.6875,22.75,25.8125,true
1687858954.460529947s,25.25,26.5,24.5,25.6875,22.75,25.75,true
1687858954.469156865s,25.25,26.5,24.5,25.6875,22.75,25.75,true
1687858954.476676793s,25.25,26.5,24.5,25.6875,22.75,25.75,true
1687858954.484663718s,25.25,26.4375,24.5,25.6875,22.75,25.75,true
1687858954.493200637s,25.25,26.4375,21.75,25.6875,23.25,25.75,true
1687858954.501114562s,25.25,26.4375,21.75,25.6875,23.25,25.75,true
1687858954.50871849s,25.25,26.4375,21.75,25.6875,23.25,25.75,true
1687858954.516252418s,25.25,26.4375,21.75,25.6875,23.25,25.75,true
1687858954.524739338s,25.25,26.4375,21.75,25.6875,23.25,25.75,true
1687858954.532312266s,25.25,26.4375,21.75,25.75,23.25,25.8125,true
1687858954.540912184s,25.25,26.4375,21.75,25.75,23.25,25.8125,true
1687858954.548593112s,25.25,26.4375,21.75,25.75,23.25,25.8125,true
1687858954.557114031s,25.25,26.4375,21.75,25.75,23.25,25.8125,true
1687858954.564684959s,25.25,26.5,21.75,25.75,23.25,25.8125,true
1687858954.573174878s,25.25,26.5,24.25,25.75,23,25.8125,true
1687858954.732692366s,25.25,26.5,23.25,25.75,24.5,25.75,true
1687858954.741018287s,25.25,26.5,23.25,25.75,24.5,25.75,true
1687858954.748244218s,25.25,26.5,23.25,25.75,24.5,25.75,true
1687858954.756756137s,25.25,26.5,23.25,25.6875,24.5,25.75,true
1687858954.764319066s,25.25,26.5,23.25,25.6875,24.5,25.75,true
1687858954.772850985s,25.25,26.5,23.25,25.6875,24.5,25.75,true
1687858954.780445913s,25.25,26.5,23.25,25.6875,24.5,25.75,true
1687858954.789071831s,25.25,26.5,22.25,25.6875,22.75,25.75,true
1687858954.796620759s,25.25,26.5,22.25,25.6875,22.75,25.75,true
1687858954.806867662s,25.25,26.5,22.25,25.6875,22.75,25.75,true
1687858954.812932605s,25.25,26.5,22.25,25.6875,22.75,25.75,true
1687858954.821150527s,25.25,26.5,22.25,25.6875,22.75,25.75,true
1687858954.82924845s,25.25,26.5,22.25,25.6875,22.75,25.75,true
1687858954.836417382s,25.25,26.5,22.25,25.6875,22.75,25.75,true
1687858954.8450713s,25.25,26.5,22.25,25.6875,22.75,25.75,true
1687858954.852282232s,25.25,26.5,22.25,25.6875,22.75,25.75,true
1687858954.861000149s,25.25,26.5,22.25,25.6875,22.75,25.75,true
1687858954.868650076s,25.25,26.5,25.75,25.6875,23.25,25.75,true
1687858954.877171996s,25.25,26.5,25.75,25.6875,23.25,25.75,true
1687858954.884744924s,25.25,26.5,25.75,25.6875,23.25,25.75,true
1687858954.892238853s,25.25,26.5,25.75,25.6875,23.25,25.75,true
1687858954.900877771s,25.25,26.5,25.75,25.6875,23.25,25.75,true
1687858954.908675697s,25.25,26.5,25.75,25.6875,23.25,25.75,true
1687858954.916224625s,25.25,26.5,25.75,25.6875,23.25,25.75,true
1687858954.924761544s,25.25,26.5,25.75,25.6875,23.25,25.75,true
1687858954.933089465s,25.25,26.5,25.75,25.6875,23.25,25.75,true
1687858954.940821392s,25.25,26.5,24.75,25.6875,22.75,25.75,true
1687858954.948527319s,25.25,26.5,24.75,25.6875,22.75,25.75,true
1687858954.957034238s,25.25,26.5,24.75,25.6875,22.75,25.75,true
1687858954.964593167s,25.25,26.5,24.75,25.6875,22.75,25.75,true
1687858954.973126086s,25.25,26.5,24.75,25.6875,22.75,25.75,true
1687858954.980719014s,25.25,26.5,24.75,25.6875,22.75,25.75,true
1687858954.988346941s,25.25,26.5,24.75,25.6875,22.75,25.75,true
1687858954.996751862s,25.25,26.5,24.75,25.6875,22.75,25.75,true
1687858955.00430679s,25.25,26.5,24.75,25.6875,22.75,25.75,true
1687858955.012938708s,25.25,26.5,21.75,25.6875,23,25.75,true
1687858955.020531636s,25.25,26.5,21.75,25.6875,23,25.75,true
1687858955.029154554s,25.25,26.5,21.75,25.6875,23,25.75,true
1687858955.036870481s,25.25,26.5,21.75,25.6875,23,25.75,true
1687858955.04441941s,25.25,26.5,21.75,25.6875,23,25.75,true
1687858955.052947329s,25.25,26.5,21.75,25.6875,23,25.75,true
1687858955.060550257s,25.25,26.5,21.75,25.6875,23,25.75,true
1687858955.069160175s,25.25,26.5,21.75,25.6875,23,25.75,true
1687858955.076711103s,25.25,26.5,21.75,25.6875,23,25.75,true
1687858955.084302031s,25.25,26.5,23.75,25.6875,23,25.75,true
1687858955.09283695s,25.25,26.5,23.75,25.6875,23,25.75,true
1687858955.24470551s,25.25,26.5,23.25,25.6875,24.5,25.75,true
1687858955.252851433s,25.25,26.5,23.25,25.6875,24.5,25.75,true
1687858955.261045355s,25.25,26.5,23.25,25.6875,24.5,25.75,true
1687858955.268731282s,25.25,26.5,23.25,25.6875,24.5,25.75,true
1687858955.276266211s,25.25,26.5,23.25,25.6875,24.5,25.8125,true
1687858955.28483113s,25.25,26.5,23.25,25.6875,24.5,25.8125,true
1687858955.292319059s,25.25,26.5,23.25,25.6875,24.5,25.8125,true
1687858955.301079976s,25.25,26.4375,23.25,25.6875,24.5,25.8125,true
1687858955.308980901s,25.25,26.4375,23.25,25.6875,23.75,25.8125,true
1687858955.316566829s,25.25,26.4375,23.25,25.6875,23.75,25.8125,true
1687858955.324664752s,25.25,26.4375,23.25,25.6875,23.75,25.8125,true
1687858955.333213671s,25.25,26.4375,23.25,25.6875,23.75,25.8125,true
1687858955.340759599s,25.25,26.4375,23.25,25.6875,23.75,25.8125,true
1687858955.348951522s,25.25,26.4375,23.25,25.6875,23.75,25.75,true
1687858955.356717448s,25.25,26.4375,23.25,25.6875,23.75,25.75,true
1687858955.364243377s,25.25,26.4375,23.25,25.6875,23.75,25.75,true
1687858955.372811295s,25.25,26.4375,23.25,25.6875,23.75,25.75,true
1687858955.380609221s,25.25,26.4375,23.25,25.6875,23.75,25.75,true
1687858955.388249149s,25.25,26.4375,25.75,25.6875,22,25.75,true
1687858955.396791068s,25.25,26.4375,25.75,25.6875,22,25.75,true
1687858955.404349996s,25.25,26.4375,25.75,25.6875,22,25.75,true
1687858955.412882915s,25.25,26.4375,25.75,25.6875,22,25.75,true
1687858955.42085784s,25.25,26.4375,25.75,25.6875,22,25.75,true
1687858955.428555767s,25.25,26.4375,25.75,25.6875,22,25.8125,true
1687858955.437119685s,25.25,26.4375,25.75,25.6875,22,25.8125,true
1687858955.444680614s,25.25,26.4375,25.75,25.6875,22,25.8125,true
1687858955.453051534s,25.25,26.5,25.75,25.6875,22,25.8125,true
1687858955.460692462s,25.25,26.5,23.25,25.6875,21.75,25.8125,true
1687858955.46832039s,25.25,26.5,23.25,25.6875,21.75,25.8125,true
1687858955.476830309s,25.25,26.5,23.25,25.6875,21.75,25.8125,true
1687858955.484391237s,25.25,26.5,23.25,25.6875,21.75,25.8125,true
1687858955.492907156s,25.25,26.5,23.25,25.6875,21.75,25.8125,true
1687858955.500555084s,25.25,26.5,23.25,25.75,21.75,25.8125,true
1687858955.509167002s,25.25,26.5,23.25,25.75,21.75,25.8125,true
1687858955.516702931s,25.25,26.5,23.25,25.75,21.75,25.8125,true
1687858955.524249859s,25.25,26.5,23.25,25.75,21.75,25.8125,true
1687858955.532800778s,25.25,26.5,21.75,25.75,23.25,25.8125,true
1687858955.540412706s,25.25,26.5,21.75,25.75,23.25,25.8125,true
1687858955.549621619s,25.25,26.5,21.75,25.75,23.25,25.8125,true
1687858955.557214547s,25.25,26.5,21.75,25.75,23.25,25.8125,true
1687858955.564927473s,25.25,26.5,21.75,25.75,23.25,25.8125,true
1687858955.572463402s,25.25,26.5,21.75,25.6875,23.25,25.8125,true
1687858955.580698324s,25.25,26.5,21.75,25.6875,23.25,25.8125,true
1687858955.588328252s,25.25,26.5,21.75,25.6875,23.25,25.8125,true
1687858955.596748172s,25.25,26.5,21.75,25.6875,23.25,25.8125,true
