time,boilerTempC,groupheadTempC,heatLevel
1691017142365,35.0,33.0,0.8
1691017142456,35.0,33.0,0.8
1691017142548,35.0,33.0,0.8
1691017142640,35.0,33.0,0.8
1691017142732,35.0,33.0,0.8
1691017142823,35.0,33.0,0.8
1691017142915,35.0,33.0,0.8
1691017143006,35.0,33.0,0.8
1691017143098,35.0,33.0,0.8
1691017143189,35.0,33.0,0.8
1691017143280,35.0,33.0,0.8
1691017143373,35.0,33.0,0.8
1691017143465,35.0,33.0,0.8
1691017143556,35.0,33.0,0.8
1691017143649,35.0,33.0,0.8
1691017143741,35.0,33.0,0.8
1691017143832,35.0,33.0,0.8
1691017143924,35.0,33.0,0.8
1691017144016,35.0,33.0,0.8
1691017144108,35.0,33.0,0.8
1691017144200,35.0,33.0,0.8
1691017144291,34.75,33.0,0.8
1691017144383,35.0,33.0,0.8
1691017144475,35.0,33.0,0.8
1691017144567,35.0,33.0,0.8
1691017144658,35.0,33.0,0.8
1691017144749,35.0,33.0,0.8
1691017144841,35.0,33.0,0.8
1691017144933,35.0,33.0,0.8
1691017145024,35.0,33.0,0.8
1691017145115,35.0,33.0,0.8
1691017145206,35.0,33.0,0.8
1691017145298,35.0,33.0,0.8
1691017145391,35.0,33.0,0.8
1691017145483,35.0,33.0,0.8
1691017145574,35.0,33.0,0.8
1691017145665,35.0,33.0,0.8
1691017145757,35.0,33.0,0.8
1691017145850,35.0,33.0,0.8
1691017145941,35.0,33.0,0.8
1691017146032,35.0,33.0,0.8
1691017146123,35.0,33.0,0.8
1691017146215,35.0,33.0,0.8
1691017146306,35.0,33.0,0.8
1691017146399,35.0,33.0,0.8
1691017146490,35.0,33.0,0.8
1691017146581,35.0,33.0,0.8
1691017146672,35.0,33.0,0.8
1691017146763,35.0,33.0,0.8
1691017146856,35.0,33.0,0.8
1691017146947,35.0,33.0,0.8
1691017147040,35.0,33.0,0.8
1691017147132,35.0,33.0,0.8
1691017147224,35.0,33.0,0.8
1691017147315,35.0,33.0,0.8
1691017147406,35.0,33.0,0.8
1691017147499,35.0,33.0,0.8
1691017147591,35.0,33.0,0.8
1691017147682,35.0,33.0,0.8
1691017147773,35.0,33.0,0.8
1691017147865,35.0,33.0,0.8
1691017147956,34.75,33.0,0.8
1691017148047,35.0,33.0,0.8
1691017148140,35.0,33.0,0.8
1691017148231,35.0,33.0,0.8
1691017148323,35.0,33.0,0.8
1691017148414,35.0,33.0,0.8
1691017148506,35.0,33.0,0.8
1691017148597,35.0,33.0,0.8
1691017148690,35.0,33.0,0.8
1691017148781,35.0,33.0,0.8
1691017148874,35.0,33.0,0.8
1691017148966,35.0,33.0,0.8
1691017149057,35.0,33.0,0.8
1691017149150,35.0,33.0,0.8
1691017149242,35.0,33.0,0.8
1691017149333,35.0,33.0,0.8
1691017149426,35.0,33.0,0.8
1691017149518,35.0,33.0,0.8
1691017149610,35.0,33.0,0.8
1691017149702,34.75,33.0,0.8
1691017149793,35.0,33.0,0.8
1691017149885,35.0,33.0,0.8
1691017149976,35.0,33.0,0.8
1691017150069,35.0,33.0,0.8
1691017150161,35.0,33.0,0.8
1691017150252,35.0,33.0,0.8
1691017150344,35.0,33.0,0.8
1691017150436,35.0,33.0,0.8
1691017150528,35.0,33.0,0.8
1691017150620,35.0,33.0,0.8
1691017150711,35.0,33.0,0.8
1691017150803,35.0,33.0,0.8
1691017150895,35.0,33.0,0.8
1691017150986,35.0,33.0,0.8
1691017151078,35.0,33.0,0.8
1691017151170,35.0,33.0,0.8
1691017151261,35.0,33.0,0.8
1691017151353,35.0,33.0,0.8
1691017151445,35.0,33.0,0.8
1691017151537,35.0,33.0,0.8
1691017151628,35.0,33.0,0.8
1691017151720,35.0,33.0,0.8
1691017151812,35.0,33.0,0.8
1691017151903,35.0,33.0,0.8
1691017151994,35.0,33.0,0.8
1691017152086,35.0,33.0,0.8
1691017152178,35.0,33.0,0.8
1691017152270,35.0,33.0,0.8
1691017152361,35.0,33.0,0.8
1691017152452,35.0,33.0,0.8
1691017152544,35.0,33.0,0.8
1691017152636,34.75,33.0,0.8
1691017152727,34.75,33.0,0.8
1691017152820,35.0,33.0,0.8
1691017152912,35.0,33.0,0.8
1691017153003,35.0,33.0,0.8
1691017153095,35.0,33.0,0.8
1691017153187,35.0,33.0,0.8
1691017153278,35.0,33.0,0.8
1691017153371,35.0,33.0,0.8
1691017153462,35.0,33.0,0.8
1691017153553,35.0,33.0,0.8
1691017153646,35.0,33.0,0.8
1691017153738,35.0,33.0,0.8
1691017153830,35.0,33.0,0.8
1691017153922,35.0,33.0,0.8
1691017154014,35.0,33.0,0.8
1691017154106,34.75,33.0,0.8
1691017154198,35.0,33.0,0.8
1691017154290,34.75,33.0,0.8
1691017154382,35.0,33.0,0.8
1691017154474,35.0,33.0,0.8
1691017154566,35.0,33.0,0.8
1691017154658,35.0,33.0,0.8
1691017154749,35.0,33.0,0.8
1691017154842,35.0,33.0,0.8
1691017154934,35.0,33.0,0.8
1691017155025,35.0,33.0,0.8
1691017155117,35.0,33.0,0.8
1691017155208,35.0,33.0,0.8
1691017155300,35.0,33.0,0.8
1691017155392,35.0,33.0,0.8
1691017155484,35.0,33.0,0.8
1691017155575,35.0,33.0,0.8
1691017155666,35.0,33.0,0.8
1691017155759,35.0,33.0,0.8
1691017155850,35.0,33.0,0.8
1691017155942,35.0,33.0,0.8
1691017156034,35.0,33.0,0.8
1691017156126,35.0,33.0,0.8
1691017156217,35.0,33.0,0.8
1691017156309,35.0,33.0,0.8
1691017156401,35.0,33.0,0.8
1691017156493,35.0,33.0,0.8
1691017156585,34.75,33.0,0.8
1691017156677,35.0,33.0,0.8
1691017156768,35.0,33.0,0.8
1691017156860,35.0,33.0,0.8
1691017156951,35.0,33.0,0.8
1691017157042,35.0,33.0,0.8
1691017157134,35.0,33.0,0.8
1691017157225,35.0,33.0,0.8
1691017157317,35.0,33.0,0.8
1691017157409,35.0,33.0,0.8
1691017157501,35.0,33.0,0.8
1691017157593,35.0,33.0,0.8
1691017157684,35.0,33.0,0.8
1691017157776,35.0,33.0,0.8
1691017157867,35.0,33.0,0.8
1691017157959,35.0,33.0,0.8
1691017158050,35.0,33.0,0.8
1691017158142,35.0,33.0,0.8
1691017158233,35.0,33.0,0.8
1691017158325,35.0,33.0,0.8
1691017158417,35.0,33.0,0.8
1691017158508,35.0,33.0,0.8
1691017158599,35.0,33.0,0.8
