time,target_temp_c,boiler_temp_c,grouphead_temp_c,thermofilter_temp_c,power,pull,steam,heat_level
1691511584586,90.0,53.5,46.5,,1,0,0,0.0
1691511584677,90.0,53.75,46.5,,1,0,0,0.699999988079071
1691511584769,90.0,53.75,46.5,,1,0,0,0.699999988079071
1691511584861,90.0,53.75,46.5,,1,0,0,0.699999988079071
1691511584953,90.0,53.75,46.5,,1,0,0,0.699999988079071
1691511585045,90.0,53.75,46.5,,1,0,0,0.699999988079071
1691511585136,90.0,53.75,46.5,,1,0,0,0.699999988079071
1691511585228,90.0,53.75,46.5,,1,0,0,0.699999988079071
1691511585319,90.0,53.75,46.5,,1,0,0,0.699999988079071
1691511585410,90.0,53.75,46.5,,1,0,0,0.699999988079071
1691511585503,90.0,53.75,46.5,,1,0,0,0.699999988079071
1691511585595,90.0,53.75,46.5,,1,0,0,0.699999988079071
1691511585686,90.0,53.75,46.5,,1,0,0,0.699999988079071
1691511585777,90.0,53.75,46.5,,1,0,0,0.699999988079071
1691511585870,90.0,53.75,46.5,,1,0,0,0.699999988079071
1691511585962,90.0,53.75,46.5,,1,0,0,0.699999988079071
1691511586053,90.0,53.75,46.5,,1,0,0,0.699999988079071
1691511586145,90.0,53.75,46.5,,1,0,0,0.699999988079071
1691511586236,90.0,53.75,46.5,,1,0,0,0.699999988079071
1691511586328,90.0,53.75,46.5,,1,0,0,0.699999988079071
1691511586419,90.0,53.75,46.5,,1,0,0,0.699999988079071
1691511586511,90.0,53.75,46.5,,1,0,0,0.699999988079071
1691511586603,90.0,53.75,46.5,,1,0,0,0.699999988079071
1691511586695,90.0,53.75,46.5,,1,0,0,0.699999988079071
1691511586787,90.0,53.75,46.5,,1,0,0,0.699999988079071
1691511586879,90.0,53.75,46.5,,1,0,0,0.699999988079071
1691511586971,90.0,53.5,46.5,,1,0,0,0.699999988079071
1691511587063,90.0,53.75,46.5,,1,0,0,0.699999988079071
1691511587154,90.0,53.75,46.5,,1,0,0,0.699999988079071
1691511587245,90.0,53.75,46.5,,1,0,0,0.699999988079071
1691511587337,90.0,53.75,46.5,,1,0,0,0.699999988079071
1691511587429,90.0,53.75,46.5,,1,0,0,0.699999988079071
1691511587520,90.0,53.75,46.5,,1,0,0,0.699999988079071
1691511587611,90.0,53.75,46.5,,1,0,0,0.699999988079071
1691511587703,90.0,53.75,46.5,,1,0,0,0.699999988079071
1691511587796,90.0,53.75,46.5,,1,0,0,0.699999988079071
1691511587887,90.0,53.75,46.5,,1,0,0,0.699999988079071
1691511587980,90.0,53.75,46.5,,1,0,0,0.699999988079071
1691511588072,90.0,53.75,46.5,,1,0,0,0.699999988079071
1691511588163,90.0,53.75,46.5,,1,0,0,0.699999988079071
1691511588254,90.0,53.75,46.5,,1,0,0,0.699999988079071
1691511588347,90.0,53.75,46.5,,1,0,0,0.699999988079071
1691511588439,90.0,53.75,46.5,,1,0,0,0.699999988079071
1691511588530,90.0,53.5,46.5,,1,0,0,0.699999988079071
1691511588621,90.0,53.75,46.5,,1,0,0,0.699999988079071
1691511588712,90.0,53.75,46.5,,1,0,0,0.699999988079071
1691511588804,90.0,53.75,46.5,,1,0,0,0.699999988079071
1691511588896,90.0,53.75,46.5,,1,0,0,0.699999988079071
1691511588987,90.0,53.5,46.5,,1,0,0,0.699999988079071
