time,boilerTempC,groupheadTempC,heatLevel
1691007847125,35.0,33.25,0.6
1691007847216,35.0,33.25,0.6
1691007847307,35.0,33.25,0.6
1691007847399,35.0,33.25,0.6
1691007847491,35.0,33.25,0.6
1691007847583,35.0,33.25,0.6
1691007847675,35.0,33.25,0.6
1691007847766,35.0,33.25,0.6
1691007847857,35.0,33.25,0.6
1691007847950,35.0,33.25,0.6
1691007848042,35.0,33.25,0.6
1691007848134,35.0,33.25,0.6
1691007848225,35.0,33.25,0.6
1691007848316,35.0,33.25,0.6
1691007848408,35.0,33.25,0.6
1691007848501,35.0,33.25,0.6
1691007848592,35.0,33.25,0.6
1691007848683,35.0,33.25,0.6
1691007848775,35.0,33.25,0.6
1691007848866,35.0,33.25,0.6
1691007848957,35.0,33.25,0.6
1691007849050,35.0,33.25,0.6
1691007849141,35.0,33.25,0.6
1691007849232,35.0,33.25,0.6
1691007849323,35.0,33.25,0.6
1691007849415,35.0,33.25,0.6
1691007849506,35.0,33.25,0.6
1691007849598,35.0,33.25,0.6
1691007849691,35.0,33.25,0.6
1691007849783,35.0,33.25,0.6
1691007849875,35.0,33.25,0.6
1691007849966,35.0,33.25,0.6
1691007850058,35.0,33.25,0.6
1691007850150,35.0,33.25,0.6
1691007850241,35.0,33.25,0.6
1691007850333,35.0,33.25,0.6
1691007850425,35.0,33.25,0.6
1691007850517,35.0,33.25,0.6
1691007850608,35.0,33.25,0.6
1691007850701,35.0,33.25,0.6
1691007850793,35.0,33.25,0.6
1691007850885,35.0,33.25,0.6
1691007850976,35.0,33.25,0.6
1691007851068,35.0,33.25,0.6
1691007851160,35.0,33.25,0.6
1691007851253,35.0,33.25,0.6
1691007851345,35.0,33.25,0.6
1691007851437,35.0,33.25,0.6
1691007851528,35.0,33.25,0.6
1691007851620,35.0,33.25,0.6
1691007851712,35.0,33.25,0.6
1691007851804,35.0,33.25,0.6
1691007851896,35.0,33.25,0.6
1691007851987,35.0,33.25,0.6
1691007852080,35.0,33.25,0.6
1691007852171,35.0,33.25,0.6
1691007852262,35.0,33.25,0.6
1691007852354,35.0,33.25,0.6
1691007852446,35.0,33.25,0.6
1691007852537,35.0,33.25,0.6
