time,thermofilter_temp_c
1692129457611,35.5
1692129457711,35.25
1692129457811,35.0
1692129457911,35.25
1692129458010,35.25
1692129458111,35.25
1692129458211,35.5
1692129458311,35.5
1692129458411,35.75
1692129458511,36.25
1692129458611,36.5
1692129458711,36.5
1692129458811,36.5
1692129458910,36.75
1692129459010,36.75
1692129459111,37.0
1692129459210,37.0
1692129459310,37.0
1692129459411,37.0
1692129459511,36.75
1692129459611,37.5
1692129459711,37.5
1692129459810,37.25
1692129459911,37.75
1692129460011,37.75
1692129460111,37.5
1692129460211,37.75
1692129460311,37.75
1692129460411,37.5
1692129460510,38.0
1692129460610,38.25
1692129460711,38.25
1692129460811,38.25
1692129460911,38.25
1692129461010,38.5
1692129461111,38.75
1692129461211,38.75
1692129461311,39.0
1692129461411,39.0
1692129461511,38.75
1692129461610,39.0
1692129461711,39.25
1692129461810,39.0
1692129461910,38.0
1692129462011,38.0
1692129462110,38.25
1692129462211,39.5
1692129462311,39.5
1692129462410,39.25
1692129462510,39.75
1692129462611,40.0
1692129462711,40.0
1692129462811,40.0
1692129462911,40.0
1692129463011,39.0
1692129463111,40.25
1692129463211,40.25
1692129463310,40.5
1692129463410,40.5
1692129463511,40.25
1692129463611,40.75
1692129463710,40.5
1692129463810,40.25
1692129463911,40.75
1692129464011,40.75
1692129464110,40.75
1692129464211,41.0
1692129464311,41.0
1692129464411,40.75
1692129464511,41.25
1692129464611,41.25
1692129464711,41.0
1692129464811,41.25
1692129464911,41.25
1692129465011,41.5
1692129465111,41.75
1692129465211,41.5
1692129465311,41.5
1692129465410,41.5
1692129465511,41.75
1692129465611,42.0
1692129465711,41.75
1692129465810,41.5
1692129465911,42.0
1692129466010,42.0
1692129466111,42.0
1692129466211,42.0
1692129466311,42.0
1692129466411,42.0
1692129466511,42.5
1692129466610,42.5
1692129466710,42.0
1692129466811,42.25
1692129466910,42.5
1692129467010,42.5
1692129467111,42.75
1692129467210,42.75
1692129467311,42.5
1692129467411,42.75
1692129467511,42.5
1692129467610,42.75
1692129467711,42.75
1692129467811,42.5
1692129467910,43.0
1692129468011,43.0
1692129468111,42.75
1692129468211,43.25
1692129468311,43.25
1692129468411,42.75
1692129468511,43.25
1692129468611,43.25
1692129468710,43.0
1692129468810,43.25
1692129468910,43.25
1692129469011,43.25
1692129469111,43.5
1692129469210,43.5
1692129469311,43.5
1692129469410,43.75
1692129469510,43.5
1692129469611,43.5
1692129469711,43.75
1692129469811,43.25
1692129469911,43.75
1692129470010,43.75
1692129470111,43.25
1692129470210,44.0
1692129470311,44.0
1692129470411,43.75
1692129470511,44.0
1692129470611,44.25
1692129470711,43.75
1692129470810,44.0
1692129470911,44.0
1692129471011,44.0
1692129471111,44.0
1692129471211,44.0
1692129471311,44.25
1692129471411,44.5
1692129471510,44.5
1692129471611,44.5
1692129471711,44.25
1692129471811,44.25
1692129471910,44.5
1692129472011,44.75
1692129472111,44.25
1692129472211,44.75
1692129472310,44.5
1692129472411,44.5
1692129472511,44.5
1692129472611,44.75
1692129472711,44.5
1692129472810,45.0
1692129472910,45.0
1692129473010,44.75
1692129473110,44.75
1692129473211,44.75
1692129473310,44.75
1692129473411,45.0
1692129473510,45.0
1692129473611,45.0
1692129473711,45.0
1692129473811,45.0
1692129473911,45.0
1692129474011,45.0
1692129474111,45.0
1692129474210,45.25
1692129474310,45.25
1692129474411,45.0
1692129474511,45.25
1692129474611,45.25
1692129474711,45.25
1692129474810,45.25
1692129474911,45.25
1692129475011,45.25
1692129475111,45.25
1692129475211,45.5
1692129475310,45.25
1692129475411,45.5
1692129475511,45.5
1692129475611,45.5
1692129475711,45.5
1692129475811,45.5
1692129475911,45.5
1692129476010,45.5
1692129476110,45.5
1692129476211,45.75
1692129476311,45.75
1692129476410,45.5
1692129476510,45.75
1692129476610,45.75
1692129476711,45.5
1692129476811,45.75
1692129476910,45.75
1692129477011,45.5
1692129477111,45.5
1692129477211,45.75
1692129477311,45.5
1692129477410,45.75
1692129477510,46.0
1692129477611,46.0
1692129477710,46.0
1692129477810,46.0
1692129477911,45.75
1692129478011,45.75
1692129478111,45.75
1692129478211,46.0
1692129478311,45.75
1692129478410,45.75
1692129478511,46.0
1692129478610,46.0
1692129478710,45.5
1692129478811,46.0
1692129478911,46.0
1692129479011,45.75
1692129479111,46.25
1692129479211,46.0
1692129479310,45.75
1692129479411,46.0
1692129479511,46.0
1692129479610,45.75
1692129479710,46.25
1692129479810,46.0
1692129479911,46.25
1692129480010,46.25
1692129480110,46.0
1692129480211,46.25
1692129480311,46.25
1692129480410,46.0
1692129480511,46.25
1692129480611,46.25
1692129480711,46.0
1692129480810,46.0
1692129480911,46.5
1692129481011,46.0
1692129481111,46.5
1692129481210,46.25
1692129481310,46.0
1692129481410,46.5
1692129481510,46.5
1692129481610,46.25
1692129481711,46.5
1692129481810,46.5
1692129481910,46.5
1692129482011,46.5
1692129482110,46.5
1692129482211,46.25
1692129482310,46.5
1692129482411,46.25
1692129482511,46.5
1692129482611,46.5
