time,boiler_temp_c,grouphead_temp_c,heat_level
1692712800011,58.75,59.75,0.0
1692712800103,58.75,59.75,0.0
1692712800197,58.75,59.75,0.0
1692712800289,58.75,59.75,0.0
1692712800380,58.75,59.75,0.0
1692712800472,58.75,59.75,0.0
1692712800563,58.75,59.75,0.0
1692712800655,58.75,59.75,0.0
1692712800747,58.75,60.0,0.0
1692712800839,58.75,59.75,0.0
1692712800931,58.75,59.75,0.0
1692712801022,58.75,59.75,0.0
1692712801119,58.75,59.75,0.0
1692712801211,58.75,59.75,0.0
1692712801302,58.75,59.75,0.0
1692712801393,58.75,59.75,0.0
1692712801485,58.75,59.75,0.0
1692712801577,58.75,59.75,0.0
1692712801669,58.75,59.75,0.0
1692712801760,58.75,59.75,0.0
1692712801852,58.75,59.75,0.0
1692712801943,58.75,59.75,0.0
1692712802035,58.75,59.75,0.0
1692712802126,58.75,60.0,0.0
1692712802218,58.75,60.0,0.0
1692712802309,58.75,60.0,0.0
1692712802400,58.75,60.0,0.0
1692712802492,58.75,59.75,0.0
1692712802583,58.75,59.75,0.0
1692712802674,58.75,59.75,0.0
1692712802766,58.75,59.75,0.0
1692712802858,58.75,60.0,0.0
1692712802949,58.75,60.0,0.0
1692712803043,58.75,59.75,0.0
1692712803134,58.75,60.0,0.0
1692712803226,58.75,59.75,0.0
1692712803318,58.75,59.75,0.0
1692712803410,58.75,59.75,0.0
1692712803501,58.75,59.75,0.0
1692712803592,58.75,60.0,0.0
1692712803683,58.75,60.0,0.0
1692712803774,58.75,60.0,0.0
1692712803865,58.75,60.0,0.0
1692712803957,58.75,60.0,0.0
1692712804049,58.75,60.0,0.0
1692712804139,58.75,60.0,0.0
1692712804230,58.75,59.75,0.0
1692712804322,58.75,59.75,0.0
1692712804414,58.75,60.0,0.0
1692712804505,58.75,59.75,0.0
1692712804597,58.75,60.0,0.0
1692712804690,58.75,60.0,0.0
1692712804781,58.75,59.75,0.0
1692712804872,58.75,59.75,0.0
1692712804963,58.75,60.0,0.0
1692712805055,58.75,60.0,0.0
1692712805145,58.75,60.0,0.0
1692712805236,58.75,59.75,0.0
1692712805327,58.75,59.75,0.0
1692712805418,58.75,60.0,0.0
1692712805521,58.75,60.0,0.0
1692712805613,58.75,60.0,0.0
1692712805704,58.75,60.0,0.0
1692712805795,58.75,60.0,0.0
1692712805886,58.75,59.75,0.0
1692712805977,58.75,60.0,0.0
1692712806068,58.75,59.75,0.0
1692712806160,58.75,60.0,0.0
1692712806252,58.75,60.0,0.0
1692712806344,58.75,60.0,0.0
1692712806435,58.75,60.0,0.0
1692712806528,58.75,60.0,0.0
1692712806619,59.0,59.75,0.0
1692712806712,58.75,60.0,0.0
1692712806804,58.75,60.0,0.0
1692712806896,58.75,60.0,0.0
1692712806987,58.75,60.0,0.0
1692712807079,58.75,60.0,0.0
1692712807171,59.0,60.0,0.0
1692712807263,58.75,60.0,0.0
1692712807354,58.75,60.0,0.0
1692712807453,58.75,60.0,0.0
1692712807547,58.75,60.0,0.0
1692712807639,58.75,59.75,0.0
1692712807730,58.75,60.0,0.0
1692712807823,58.75,60.0,0.0
1692712807915,58.75,60.0,0.0
1692712808006,58.75,60.0,0.0
1692712808099,58.75,60.0,0.0
1692712808190,58.75,60.0,0.0
1692712808282,58.75,60.0,0.0
1692712808373,58.75,60.0,0.0
1692712808464,58.75,60.0,0.0
1692712808556,59.0,60.0,0.0
1692712808648,59.0,60.0,0.0
1692712808738,58.75,60.0,0.0
1692712808829,58.75,60.0,0.0
1692712808921,58.75,60.0,0.0
1692712809011,58.75,60.0,0.0
1692712809102,59.0,60.0,0.0
1692712809194,58.75,60.0,0.0
1692712809285,59.0,60.0,0.0
1692712809377,59.0,60.0,0.0
1692712809467,58.75,60.0,0.0
1692712809559,58.75,60.0,0.0
1692712809651,58.75,60.0,0.0
1692712809743,58.75,60.0,0.0
1692712809835,58.75,60.0,0.0
1692712809927,58.75,60.0,0.0
1692712810019,58.75,60.0,0.0
1692712810109,58.75,60.0,0.0
1692712810201,58.75,59.75,0.0
1692712810293,59.0,60.0,0.0
1692712810388,59.0,60.0,0.0
1692712810479,58.75,60.0,0.0
1692712810571,58.75,60.0,0.0
1692712810662,58.75,60.0,0.0
1692712810753,58.75,60.0,0.0
1692712810844,58.75,60.0,0.0
1692712810935,58.75,60.0,0.0
1692712811026,58.75,60.0,0.0
1692712811117,58.75,60.0,0.0
1692712811210,58.75,60.0,0.0
1692712811301,59.0,60.0,0.0
1692712811393,58.75,60.0,0.0
1692712811485,58.75,60.0,0.0
1692712811576,58.75,60.0,0.0
1692712811667,58.75,60.0,0.0
1692712811758,58.75,60.0,0.0
